Property,Domain,Range,Comment
bs:alignedWith,bs:CarbonResult,bs:LifecycleModule,Aligns result to lifecycle module
bs:aggregates,bs:LifecycleModule,bs:CarbonResult,Module aggregates results
bs:contributesTo,ifc:IfcAsset,ifc:IfcAsset,Building contributes to Campus
prov:wasGeneratedBy,bs:CarbonResult,prov:Activity,Result generated by activity
prov:wasAttributedTo,bs:CarbonResult,prov:Agent,Result attributed to agent
prov:used,prov:Activity,rdfs:Resource,Activity used a resource
bs:calculatedFrom,bs:CarbonResult,rdfs:Resource,Inputs used in calculation
prov:wasDerivedFrom,bs:ActivityQuantity,rdfs:Resource,Quantity derived from resource
bs:hasMaterial,ifc:IfcBuildingElement,bs:Material,Element uses material
bs:hasEmissionFactor,bs:ActivityQuantity,bs:EmissionFactor,Quantity has emission factor
bs:hasElectricityConsumption,ifc:IfcAsset,sosa:Sensor,Asset has electricity meter
sosa:madeObservation,sosa:Sensor,sosa:Observation,Sensor made observation
bs:hasObservation,ifc:IfcAsset,sosa:Observation,Asset has observation
